material	A	A'	B	parentA	parentA'	parentB	T	d_star	k_star	ead	eak	e affinity(A)	e affinity(B)	A-site radius	B-site radius	Dopant r Diff (A)	Dopant r Diff (B)	B cation	d-electron count (B)	t_factor	a_site_electronegativity	b_site_electronegativity	electro_diff	family	somethingelse
La(0.6)Sr(0.4)CoO(3)	{'La':0.6, 'Sr':0.4}	-	{'Co':1}	La	-	Co	790.26	2.10E-12	7.90E-08	1.84E+00	0.76	0.3028	0.66333	1.392	0.545	-0.032	0	Co3+	6	0.998775341	1.04	1.88	-0.84	Ruddlesden-Popper	
La(.9)Sr(.1)Ga(.8)Mg(.2)O(3)	{'La':0.9, 'Sr':0.1}	-	{'Ga':0.8, 'Mg':0.2}	La	-	-	927.4	9.80E-07	2.00E-07	8.00E-01	1.2	0.4282	0.128	1.368	0.64	-0.008	-0.02	0.8*Ga3+/0.2*Mg2+	8.2	/	1.085	1.71	-0.625	Perovskite	
La(.8)Sr(.2)Ga(.8)Mg(.2)O(3)	{'La':0.8, 'Sr':0.2}	-	{'Ga':0.8, 'Mg':0.2}	La	-	-	1070	5.00E-06	3.00E-06	1.10E+00	1.1	0.3864	0.128	1.376	0.64	-0.016	-0.02	0.8*Ga3+/0.2*Mg2+	8.2	/	1.07	1.71	-0.64	Perovskite	
Pr(1.9)Ni(0.75)Cu(0.25)O(4+x)	{'Pr':1}	-	{'Ni':0.75, 'Cu':0.25}	Pr	-	-	831.32	3.30E-08	1.10E-07	6.40E-01	0.76	0.962	1.1487645	1.179	0.495	0	-0.015	0.75*Ni3+/0.25*Cu3+	7.25	0.851526051	1.13	1.9075	-0.7775	Ruddlesden-Popper	
Pr(1.9)Ni(0.7125)Cu(0.2375)Ga(0.05)O(4+x)	{'Pr':1}	-	{'Ni':0.7125, 'Cu':0.2375, 'Ga':0.05}	Pr	-	-	679.67	6.70E-09	4.90E-08	0.57	0.62	0.962	1.11183	1.179	0.50125	0	/	-	7.3875	0.850781066	1.13	1.902625	-0.772625	Ruddlesden-Popper	
La(1.9)Sr(0.1)NiO(4+x)	{'La':0.95, 'Sr':0.05}	-	{'Ni':1}	La	-	Ni	869.57	/	6.67E-09	/	1.39	0.4491	1.15716	1.2207	0.48	-0.0047	0	Ni3+	7	0.980426119	1.0925	1.91	-0.8175	Ruddlesden-Popper	
La(1.8)Sr(0.2)NiO(4+x)	{'La':0.9, 'Sr':0.2}	-	{'Ni':1}	La	-	Ni	869.57	/	4.20E-09	/	0.99	0.4282	1.15716	1.2254	0.48	-0.0094	0	Ni3+	7	0.985044881	1.085	1.91	-0.825	Ruddlesden-Popper	
La(1.9)Sr(0.1)NiO(4+x)	{'La':0.95, 'Sr':0.05}	-	{'Ni':1}	La	-	Ni	1148.5	4.30E-08	/	6.20E-01	/	0.4491	1.15716	1.2207	0.48	-0.0047	0	Ni3+	7	0.980426119	1.0925	1.91	-0.8175	Ruddlesden-Popper	
La(1.8)Sr(0.2)NiO(4+x)	{'La':0.9, 'Sr':0.1}	-	{'Ni':1}	La	-	Ni	1203.95	3.30E-09	/	1.28E+00	/	0.4282	1.15716	1.2254	0.48	-0.0094	0	Ni3+	7	0.985044881	1.085	1.91	-0.825	Ruddlesden-Popper	
La(2)NiO(4+x)	{'La':1}	-	{'Ni':1}	La	-	Ni	912.41	2.20E-08	2.50E-06	8.70E-01	1.55	0.47	1.15716	1.216	0.48	0	0	Ni3+	7	0.975807358	1.1	1.91	-0.81	Ruddlesden-Popper	
La(2)NiO(4+x)	{'La':1}	-	{'Ni':1}	La	-	Ni	1000	2.10E-07	1.30E-06	5.70E-01	1.38	0.47	1.15716	1.216	0.48	0	0	Ni3+	7	0.975807358	1.1	1.91	-0.81	Ruddlesden-Popper	
Ba(0.5)Sr(0.5)Co(0.8)Fe(0.2)O(3-x)	{'Ba':0.5, 'Sr':0.5}	-	{'Co':0.8, 'Fe':0.2}		-	-	873.15	1.40E-07	/	1.13E+00	/	0.09831	0.56084	1.525	0.546	0.085	-0.001	-	/	1.065712846		1.87	-1.87	Perovskite	
La(0.7125)Sr(0.2375)Cr(0.5)Mn(0.5)O(3-x)	{'La':0.7125, 'Sr':0.2375}	-	{'Cr':0.5, 'Mn':0.5}	La	-	-	1173.15	1.00E-10	9.70E-09	8.00E-01	2.4	0.347225	-0.16208	1.311	0.5925	-0.019	0.0225	-	/	0.989829662		1.605	-1.605	Perovskite	
La(1.05)Sr(0.95)Ga(3)O(7+x)	-	-	-	-	-	-	973.15	2.56E-10	9.71E-10	8.80E-01	2.28	0.27145	0.41	/	/	/	/	-	/	/	/	/	/	Melilite	
Ce(0.69)Gd(0.31)O(2-x)	-	-	-	-	-	-	1000	5.10E-08	1.30E-08	1.16E+00	0.62	/	/	/	/	/	/	-	/	0.571794731	/	/	/	Electrolyte	
((ZrO2)_.92 (Y2O3)_.08 )_.533 (La_.8 Sr_.2 Mn O3)_.129	-	-	-	-	-	-	1090.38	5.50E-09	6.60E-08	1.34E+00	1.99E+00	/	/	/	/	/	/	-	/	/	/	/	/	Perovskite/Electrolyte	
((ZrO2)_.92 (Y2O3)_.08 )_.457 (La_.8 Sr_.2 Mn O3)_.173	-	-	-	-	-	-	1072.04	2.20E-09	3.10E-08	1.33E+00	1.76E+00	/	/	/	/	/	/	-	/	/	/	/	/	Perovskite/Electrolyte	
(ZrO2)_0.92 (Y2O3)_0.08	-	-	-	-	-	-	1072.38	1.10E-07	8.90E-09	5.30E-01	1.32E+00	/	/	/	/	/	/	-	/	/	/	/	/	Electrolyte	
La(0.8)Sr(0.2)MnO(3+x)	{'La':0.8, 'Sr':0.2}	-	{'Mn':1}	La	-	Mn	1071.81	5.40E-15	2.40E-09	2.77E+00	1.56	0.3864	-1	1.376	0.57	-0.016	0	Mn3+	4	0.971569752	1.07	1.55	-0.48	Perovskite	
(ZrO2)_0.905 (Y2O3)_0.095	-	-	-	-	-	-	1000	5.30E-08	3.10E-09	1.22E+00	0.77	/	/	/	/	/	/	-	/	/	/	/	/	Electrolyte	
Ce(0.9)Gd(0.1)O(2-x)	-	-	-	-	-	-	1000	1.80E-09	2.40E-08	9.00E-01	0.5	/	/	/	/	/	/	-	/	0.828688016	/	/	/	Electrolyte	
(ZrO2)_0.9 (Y2O3)_0.1	-	-	-	-	-	-	1000	3.10E-08	/	1.01E+00	/	/	/	/	/	/	/	-	/	/	/	/	/	Electrolyte	
(ZrO2)_0.82 (Y2O3)_0.18	-	-	-	-	-	-	1000	2.80E-09	/	1.02E+00	/	/	/	/	/	/	/	-	/	/	/	/	/	Electrolyte	
(ZrO2)_0.9 (Y2O3)_0.1	-	-	-	-	-	-	1000	3.10E-08	/	9.90E-01	/	/	/	/	/	/	/	-	/	/	/	/	/	Electrolyte	
(ZrO2)_0.82 (Y2O3)_0.18	-	-	-	-	-	-	1000	2.60E-09	/	1.02E+00	/	/	/	/	/	/	/	-	/	/	/	/	/	Electrolyte	
UO_2.002	-	-	-	-	-	-	1000	5.30E-13	/	2.86E+00	/	/	/	/	/	/	/	-	/	/	/	/	/	Other	
UO_2.063	-	-	-	-	-	-	700	1.30E-12	/	1.37E+00	/	/	/	/	/	/	/	-	/	/	/	/	/	Other	
La(2)NiO(4+x)	{'La':1}	-	{'Ni':1}	La	-	Ni	666.67	6.80E-10	5.90E-08	1.90E-01	0.77	0.47	1.15716	1.216	0.48	0	0	Ni3+	7	0.975807358	1.1	1.91	-0.81	Ruddlesden-Popper	
La(2)NiO(4+x)	{'La':1}	-	{'Ni':1}	La	-	Ni	666.67	/	1.10E-09	/	0.38	0.47	1.15716	1.216	0.48	0	0	Ni3+	7	0.975807358	1.1	1.91	-0.81	Ruddlesden-Popper	
La(2)NiO(4+x)	{'La':1}	-	{'Ni':1}	La	-	Ni	666.67	6.80E-10	5.90E-08	1.90E-01	0.77	0.47	1.15716	1.216	0.48	0	0	Ni3+	7	0.975807358	1.1	1.91	-0.81	Ruddlesden-Popper	
La(2)NiO(4+x)	{'La':1}	-	{'Ni':1}	La	-	Ni	666.67	/	1.10E-09	/	0.38	0.47	1.15716	1.216	0.48	0	0	Ni3+	7	0.975807358	1.1	1.91	-0.81	Ruddlesden-Popper	
Ca(2)MgSi(2)O(7)	-	-	-	-	-	-	1258.34	2.60E-18	/	3.11E+00	/	/	/	/	/	/	/	-	/	/	/	/	/	Melilite	
Ca(2)MgSi(2)O(7)	-	-	-	-	-	-	1258.34	1.10E-18	/	2.23E+00	/	/	/	/	/	/	/	-	/	/	/	/	/	Melilite	
La(0.2175)Pr(0.2175)Ba(0.145)Sr(0.4)Fe(0.8)Co(0.2)O(3-x)	{'La':0.2175, 'Pr':0.2175, 'Ba':0.145, 'Sr':0.4}	-	{'Fe':0.8, 'Co':0.2}		-	-	919	2.82E-08	2.56E-08	1.41E+00	2.3	/	/	/	/	/	/	-	/	/	0.994075	1.84	-0.845925	Perovskite	
La(0.5)Sr(0.5)Mn(0.5)Ti(0.5)O(3-x)	{'La':0.5, 'Sr':0.5}	-	{'Mn':0.5, 'Ti':0.5}	La	-	-	1092.54	4.20E-15	1.60E-10	2.43E+00	2.6	0.261	-0.458	1.4	0.5875	-0.04	-0.0175	0.5*Mn3+/0.5*Ti3+	2.5	/	1.025	1.585	-0.56	Perovskite	
La(0.8)Sr(0.2)MnO(3+x)	{'La':0.8, 'Sr':0.2}	-	{'Mn':1}	La	-	Mn	1000	7.90E-16	4.60E-11	3.24E+00	3.1	0.3864	-1	1.376	0.57	-0.016	0	Mn3+	4	0.9715697517	1.07	1.55	-0.48	Perovskite	
La(0.8)Sr(0.2)MnO(3+x)	{'La':0.8, 'Sr':0.2}	-	{'Mn':1}	La	-	Mn	1000	7.10E-16	2.20E-09	2.80E+00	1.2	0.3864	-1	1.376	0.57	-0.016	0	Mn3+	4	0.9715697517	1.07	1.55	-0.48	Perovskite	
La(0.8)Sr(0.2)Mn(0.8)Fe(0.2)O(3+x)	{'La':0.8, 'Sr':0.2}	-	{'Mn':0.8, 'Fe':0.2}	La	-	-	1000	1.40E-15	3.80E-10	2.34E+00	1.24	0.3864	-0.7698	1.376	0.566	-0.016	/	0.8*Mn3+/0.2*Fe3+	4.2	0.970416542	1.07	1.606	-0.536	Perovskite	
La(0.8)Sr(0.2)Mn(0.5)Fe(0.5)O(3+x)	{'La':0.8, 'Sr':0.2}	-	{'Mn':0.5, 'Fe':0.5}	La	-	-	1000	3.00E-16	2.30E-10	2.23E+00	1.56	0.3864	-0.4245	1.376	0.56	-0.016	0.01	0.5*Mn3+/0.2*Fe3+	4.5	0.968686728	1.07	1.69	-0.62	Perovskite	
La(0.8)Sr(0.2)Mn(0.2)Fe(0.8)O(3+x)	{'La':0.8, 'Sr':0.2}	-	{'Mn':0.2, 'Fe':0.8}	La	-	-	1000	5.70E-14	1.90E-09	2.12E+00	1.76	0.3864	-0.0792	1.376	0.554	-0.016	0.004	0.2*Mn3+/0.8*Fe3+	4.8	0.966956914	1.07	1.774	-0.704	Perovskite	
La(0.8)Sr(0.2)FeO(3+x)	{'La':0.8, 'Sr':0.2}	-	{'Fe':1}	La	-	Fe	1000	5.50E-12	9.40E-08	1.38E+00	0.96	0.3864	0.151	1.376	0.55	-0.016	0	Fe3+	5	0.965803704	1.07	1.83	-0.76	Perovskite	
(ZrO2)_0.905 (Y2O3)_0.095	-	-	-	-	-	-	774	7.90E-10	2.00E-08	9.40E-01	1.1	/	/	/	/	/	/	-	/	/	/	/	/	Electrolyte	
(ZrO2)_0.905 (Y2O3)_0.095	-	-	-	-	-	-	774	3.40E-11	6.40E-09	9.40E-01	1.1	/	/	/	/	/	/	-	/	/	/	/	/	Electrolyte	
(ZrO2)_0.905 (Y2O3)_0.095	-	-	-	-	-	-	666.67	1.50E-14	3.40E-11	1.11E+00	1.13	/	/	/	/	/	/	-	/	/	/	/	/	Electrolyte	
Sr(3)YCo(4)O(10.5)	-	-	-	-	-	-	1000	8.00E-09	2.00E-06	1.56E+00	1.14	/	/	/	/	/	/	-	/	/	/	/	/	Electrolyte	
La(9.33)Si(6)O(26) LSO	-	-	-	-	-	-	600	7.80E-11	2.78E-09	6.70E-01	1.53	/	/	/	/	/	/	-	/	/	/	/	/	Electrolyte	
La(9.33)Mg(0.9)Si(5.1)O(26) LMSO	-	-	-	-	-	-	600	2.80E-09	3.53E-08	6.70E-01	1.33	/	/	/	/	/	/	-	/	/	/	/	/	Electrolyte	
La(9.83)Al(1.5)Si(4.5)O(26) LASO	-	-	-	-	-	-	600	1.58E-09	2.24E-08	9.00E-01	1.52	/	/	/	/	/	/	-	/	/	/	/	/	Electrolyte	
La(9.83)Fe(1.5)Si(4.5)O(26) LFSO	-	-	-	-	-	-	600	6.05E-10	7.45E-09	1.16E+00	1.8	/	/	/	/	/	/	-	/	/	/	/	/	Electrolyte	
